n,CPU,GPU
Error: Out of resources, File: radixsort.cpp, Line: 196
Error: Out of resources, File: radixsort.cpp, Line: 196
Error: Out of resources, File: radixsort.cpp, Line: 196
Error: Out of resources, File: radixsort.cpp, Line: 196
Error: Out of resources, File: radixsort.cpp, Line: 196
128,1.28746e-05,0.00373101
256,9.799e-05,0.00789309
512,0.000124216,0.00795579
1024,0.000178814,0.00804019
2048,0.00029707,0.00825095
4096,0.000556946,0.00868607
8192,0.00111318,0.00991392
16384,0.00227404,0.0124631
32768,0.00475097,0.022567
65536,0.00998092,0.0454631
131072,0.020962,0.062299
262144,0.0442021,0.094456
524288,0.0929198,0.15849
1048576,0.196152,0.285854
2097152,0.410779,0.539227
4194304,0.871705,1.02549
8388608,1.81798,1.98664
16777216,3.79657,3.92773
n,CPU,GPU
Error: Out of resources, File: radixsort.cpp, Line: 196
Error: Out of resources, File: radixsort.cpp, Line: 196
Error: Out of resources, File: radixsort.cpp, Line: 196
Error: Out of resources, File: radixsort.cpp, Line: 196
Error: Out of resources, File: radixsort.cpp, Line: 196
Error: Out of resources, File: radixsort.cpp, Line: 196
128,1.28746e-05,0.00373816
256,9.70364e-05,0.00787497
512,0.00012207,0.00792885
1024,0.00017786,0.0080092
2048,0.000295877,0.00827312
4096,0.000555992,0.00870514
8192,0.00110483,0.00990605
16384,0.00228214,0.0125198
32768,0.00476313,0.0226488
65536,0.0145879,0.045737
131072,0.0211971,0.0621741
262144,0.0441811,0.093956
524288,0.0930531,0.158076
1048576,0.195939,0.285509
2097152,0.412712,0.539403
4194304,0.862413,1.02473
8388608,1.80488,1.9905
16777216,3.82473,3.92396
33554432,7.93892,7.82389
67108864,16.3626,15.5792
